primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
barswa,[],['song'],55.9937,-3.5605,Hirundo rustica,Barn Swallow,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,https://www.xeno-canto.org/133802,barswa/XC133802.ogg
barswa,[],['alarm call'],54.4894,-6.3813,Hirundo rustica,Barn Swallow,Anthony McGeehan ,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/247566,barswa/XC247566.ogg
barswa,[],"['begging call', 'call']",51.2617,1.3869,Hirundo rustica,Barn Swallow,Martin Sutherland,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/267929,barswa/XC267929.ogg
barswa,[],"['call', 'flight call', 'juvenile']",53.1234,-1.9189,Hirundo rustica,Barn Swallow,Dominic Garcia-Hall,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/383831,barswa/XC383831.ogg
barswa,[],"['begging call', 'call', 'juvenile', 'wing beat']",53.1234,-1.9189,Hirundo rustica,Barn Swallow,Dominic Garcia-Hall,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/383832,barswa/XC383832.ogg
barswa,[],['song'],51.7979,-8.1822,Hirundo rustica,Barn Swallow,Harry Hussey,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/411677,barswa/XC411677.ogg
barswa,[],['song'],51.7952,-8.1764,Hirundo rustica,Barn Swallow,Harry Hussey,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/416955,barswa/XC416955.ogg
barswa,[],['song'],51.9534,-3.8271,Hirundo rustica,Barn Swallow,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/421348,barswa/XC421348.ogg
barswa,[],"['call', 'flight call']",52.7069,-0.5482,Hirundo rustica,Barn Swallow,Andrew Harrop,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/485373,barswa/XC485373.ogg
barswa,[],['song'],52.964,0.605,Hirundo rustica,Barn Swallow,Marc Read,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.0,https://www.xeno-canto.org/542504,barswa/XC542504.ogg
barswa,[],[''],51.225,-2.978,Hirundo rustica,Barn Swallow,Paul Bate,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.0,https://xeno-canto.org/555813,barswa/XC555813.ogg
barswa,[],"['call', 'flight call', 'life stage uncertain', 'sex uncertain', 'song']",52.3088,-1.3115,Hirundo rustica,Barn Swallow,Theo de Clermont,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/559870,barswa/XC559870.ogg
barswa,[],"['begging call', 'juvenile', 'sex uncertain']",53.6159,0.1393,Hirundo rustica,Barn Swallow,Rowan Wakefield,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/584761,barswa/XC584761.ogg
barswa,[],"['adult', 'call', 'male', 'song']",57.0158,-6.2807,Hirundo rustica,Barn Swallow,Sean Morris,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/663754,barswa/XC663754.ogg
barswa,[],['song'],52.5603,-6.2027,Hirundo rustica,Barn Swallow,Irish Wildlife Sounds,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,http://xeno-canto.org/667927,barswa/XC667927.ogg
barswa,[],['song'],52.5603,-6.2027,Hirundo rustica,Barn Swallow,Irish Wildlife Sounds,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,http://xeno-canto.org/667928,barswa/XC667928.ogg
barswa,[],['flight call'],59.9021,-1.338,Hirundo rustica,Barn Swallow,Andrew Harrop,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,http://xeno-canto.org/672081,barswa/XC672081.ogg
barswa,[],"['call', 'juvenile']",59.9021,-1.338,Hirundo rustica,Barn Swallow,Andrew Harrop,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/674733,barswa/XC674733.ogg
barswa,[],['song'],53.9299,-2.9833,Hirundo rustica,Barn Swallow,Chris Batty,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,http://xeno-canto.org/690492,barswa/XC690492.ogg
